Center,rank,TenantName_2021,GrossSales_2021,TenantName_2020,GrossSales_2020,TenantName_2019,GrossSales_2019
Atlantic City,1,Nike,11279312.74,Polo Ralph Lauren,5791855.37,Coach,10662990.15
Atlantic City,2,Coach,9246452.51,Nike,5423483.68,Nike,8674947.22
Atlantic City,3,Polo Ralph Lauren,9045707.01,Coach,5189732.27,Polo Ralph Lauren,7996275.92
Atlantic City,4,adidas,5738023.21,adidas,4051877.73,Michael Kors,7363250.96
Atlantic City,5,Ruths Chris Steakhouse,5077892.48,Michael Kors,3917155.99,adidas,6171143.01
Atlantic City,6,Michael Kors,4928064.94,Old Navy,3130291.59,Applebees,4357449.3
Atlantic City,7,Victoria's Secret,4925235,Ruths Chris Steakhouse,2888174.16,Old Navy,3766106.65
Atlantic City,8,Applebees,4609903.65,Puma,2732575.3,Tommy Hilfiger,3716994
Atlantic City,9,Old Navy,4173030.04,Tommy Hilfiger,2605248.72,H&M,3674967.93
Atlantic City,10,H&M,3933117.1,Gap,2424968.51,Ruths Chris Steakhouse,2942231.31
Blowing Rock,1,Columbia Sportswear,2592217.48,American Eagle Outfitters,1723795.26,American Eagle Outfitters,1856855.51
Blowing Rock,2,Rack Room Shoes,2117245.77,Rack Room Shoes,1617529.49,Rack Room Shoes,1819147.07
Blowing Rock,3,American Eagle Outfitters,1848998.07,Polo Ralph Lauren,1274232.17,Polo Ralph Lauren,1693515.38
Blowing Rock,4,Gap,1708642.9,Gap,1234353.23,Bass,1550376.92
Blowing Rock,5,Polo Ralph Lauren,1699343.2,J. Crew,820103.47,Gap,1340541.03
Blowing Rock,6,Vera Bradley,1600214.3,Bass,813914.08,Chicos,1299135.8
Blowing Rock,7,Banana Republic,1240315.77,Carters,807058.28,J. Crew,1144274.27
Blowing Rock,8,Carters,1126556.95,Hanesbrands,770589.89,Talbots,1141989.79
Blowing Rock,9,Hanesbrands,979990.62,Banana Republic,753038.78,Banana Republic,1123751.95
Blowing Rock,10,Talbots,931155.66,Van Heusen,732547.3,Van Heusen,924394.35
Branson,1,Nike,10303374.89,Nike,6890499.17,Nike,9289154.91
Branson,2,Under Armour,7617010.36,Under Armour,4669616.78,Under Armour,6069860.19
Branson,3,Vera Bradley,6672279.34,Vera Bradley,4491004.89,Old Navy,5454872.49
Branson,4,Old Navy,6625870.31,Old Navy,4471298.23,Coach,4868198.7
Branson,5,Bath & Body Works,4721288,Bath & Body Works,3743098,Michael Kors,4164354.84
Branson,6,Michael Kors,4577252.78,adidas,3411718.12,adidas,3902645.39
Branson,7,Coach,4483317.9,Michael Kors,2785696.89,Polo Ralph Lauren,3401453.23
Branson,8,Rack Room Shoes,4112557.89,Rack Room Shoes,2745784.77,Rack Room Shoes,3249495.53
Branson,9,adidas,3999571.3,Polo Ralph Lauren,2686508.14,Disney,3094573.67
Branson,10,Helzberg Diamond,3812217.99,Coach,2648457.05,Kate Spade,2759202.55
Bromont,1,NA,NA,NA,NA,Bikini Village,0
Charleston,1,Nike,9897605.65,Nike,6334259.43,Nike,10341790.62
Charleston,2,Old Navy,7140259.09,Old Navy,5036223.7,Old Navy,7273033.48
Charleston,3,Polo Ralph Lauren,6349138.74,Polo Ralph Lauren,4305435.25,Polo Ralph Lauren,5975561.1
Charleston,4,American Eagle/Aerie,6211712.31,American Eagle/Aerie,4094304.13,Michael Kors,5154142.14
Charleston,5,Palmetto Moon,4830364.38,Bath & Body Works,3400923,American Eagle/Aerie,5056070.1
Charleston,6,H&M,4790994.82,Palmetto Moon,3322175.98,H&M,4181065.14
Charleston,7,Bath & Body Works,4683770,Under Armour,3235151.63,Coach,3804806.91
Charleston,8,Coach,4530338.28,Michael Kors,3193591.81,Under Armour,3688653.37
Charleston,9,Under Armour,4296737.26,H&M,3003238.74,Palmetto Moon,3550924.04
Charleston,10,Michael Kors,3813601.39,adidas,2776803.63,Vans,3446679.73
Columbus,1,Nike,13470564.3,Nike,9651740.64,Nike,14163207.66
Columbus,2,Under Armour,9434314.13,Under Armour,6717163.06,Under Armour,7623617.24
Columbus,3,American Eagle Outfitters,6617971.81,Old Navy,4694061.72,Coach,6040181.91
Columbus,4,Coach,6404398.17,American Eagle Outfitters,4420515.74,Old Navy,5638379.6
Columbus,5,Old Navy,6184194.65,North Face,4014641.29,Polo Ralph Lauren,5181508.55
Columbus,6,Polo Ralph Lauren,5538132.32,Polo Ralph Lauren,3948773.39,North Face,5090079.29
Columbus,7,Michael Kors,5243644.2,Michael Kors,3860781.16,American Eagle Outfitters,4924137.23
Columbus,8,Victoria's Secret,4403638,Coach,3526402.69,Michael Kors,4797471.3
Columbus,9,adidas,4345865.71,Victoria's Secret,3107801,Vera Bradley,4264825.38
Columbus,10,North Face,4227345.11,Vera Bradley,2993267.86,Columbia Sportswear,3792902.42
Commerce,1,Nike,11552360.3,Nike,8663880.41,Nike,9164448.12
Commerce,2,Polo Ralph Lauren,5868221.96,Polo Ralph Lauren,4470268.45,Polo Ralph Lauren,5280507.69
Commerce,3,Old Navy,4673008.03,Old Navy,3890216.57,Old Navy,4358505.68
Commerce,4,American Eagle Outfitters,4371878.27,American Eagle Outfitters,3321788.32,American Eagle Outfitters,3775161.38
Commerce,5,Rack Room Shoes,3839870.96,Rack Room Shoes,3078751.17,H&M,3320113.71
Commerce,6,Coach,3813231.48,Bath & Body Works,2941886,Rack Room Shoes,3209724.63
Commerce,7,Under Armour,3690465.53,Under Armour,2899079.02,Under Armour,3077155.1
Commerce,8,H&M,3591779.53,Levis,2878947.5,Coach,3061421
Commerce,9,Bath & Body Works,3536340,H&M,2630181.03,Michael Kors,2858755.4
Commerce,10,Michael Kors,3331435.79,Michael Kors,2560324.63,Bath & Body Works,2481059
Cookstown,1,Under Armour,7450897.99,Under Armour,6447580.88,Coach,7900587.7
Cookstown,2,Coach,7029370.26,Coach,4265280.68,Nike,7715523.27
Cookstown,3,H&M,4057069.7,H&M,4027686.98,Under Armour,7242062.39
Cookstown,4,Polo Ralph Lauren,3691401.59,Polo Ralph Lauren,3845234.32,Polo Ralph Lauren,5753437.7
Cookstown,5,Bath & Body Works,3408665,Bath & Body Works,3315914,Tommy Hilfiger,4942615.74
Cookstown,6,Gap,3124571.78,Tommy Hilfiger,3245597.37,H&M,4876452.55
Cookstown,7,Tommy Hilfiger,3099285.55,Old Navy,3236937.48,Calvin Klein,3778698.75
Cookstown,8,adidas,2921973.2,Gap,2819270.96,American Eagle Outfitters,3497558.82
Cookstown,9,Old Navy,2809882.94,Calvin Klein,2734368.59,Gap,3481368.74
Cookstown,10,American Eagle Outfitters,2714397.67,adidas,2612756,Banana Republic,3395690.22
Daytona Beach,1,Nike,10087483.78,Nike,6640639.76,Nike,7593914.11
Daytona Beach,2,Old Navy,5843646.96,Old Navy,3816348.41,Michael Kors,5010956.01
Daytona Beach,3,Under Armour,5292533.5,Under Armour,3609925.08,Under Armour,4490584.07
Daytona Beach,4,American Eagle Outfitters,4393475.81,Michael Kors,3284897.49,Old Navy,4258924.46
Daytona Beach,5,Columbia Sportswear,4391724,Polo Ralph Lauren,2911005.07,Polo Ralph Lauren,3945505.51
Daytona Beach,6,Bath & Body Works,4310404,Columbia Sportswear,2842106.39,Columbia Sportswear,3880488.36
Daytona Beach,7,Michael Kors,4283607.98,Bath & Body Works,2804998,H&M,3167951.35
Daytona Beach,8,Polo Ralph Lauren,4154925.53,Vera Bradley,2497147.7,Vera Bradley,3063148.33
Daytona Beach,9,H&M,3913732.64,H&M,2422901.07,American Eagle Outfitters,2713337.88
Daytona Beach,10,Palmetto Moon,3530690.86,American Eagle Outfitters,2379124.01,Bath & Body Works,2413550
Deer Park - The Arches,1,Nike,18143729.67,Nike,11301082.05,Nike,15051470.78
Deer Park - The Arches,2,Coach,10652715.92,Coach,7077837.25,Coach,14200874.44
Deer Park - The Arches,3,Polo Ralph Lauren,9570531.28,Polo Ralph Lauren,6380586.43,Regal Cinemas,13345855.02
Deer Park - The Arches,4,American Eagle Outfitters,8713139.24,American Eagle Outfitters,6149241.38,Michael Kors,9321877.12
Deer Park - The Arches,5,Off 5th Saks Fifth Avenue,8401584.66,Old Navy,5705307.81,Polo Ralph Lauren,8614122.94
Deer Park - The Arches,6,Old Navy,7375665.17,Michael Kors,5067696.61,Old Navy,7402135.87
Deer Park - The Arches,7,Michael Kors,7176493.25,Calvin Klein,4517959.57,adidas,7233749.74
Deer Park - The Arches,8,Gap,6687142.71,Gap,4326780.99,Off 5th Saks Fifth Avenue,7125322.81
Deer Park - The Arches,9,adidas,6376168.29,Off 5th Saks Fifth Avenue,4283380.4,Millers Ale House,6329624
Deer Park - The Arches,10,Victoria's Secret,5712567,adidas,4064727.83,Calvin Klein,5870396.41
Foley,1,TJ Maxx,10467754.33,TJ Maxx,10144879.72,TJ Maxx,11018219.42
Foley,2,Nike,9271654.01,Nike,6905901.05,Nike,9246702.53
Foley,3,Under Armour,6132968.83,Polo Ralph Lauren,4666369.11,Polo Ralph Lauren,6465204.94
Foley,4,Polo Ralph Lauren,6065800.66,Old Navy,4173934.59,Old Navy,5306704.65
Foley,5,Sand Dollar Lifestyles,4852073.9,Vera Bradley,3647425.52,Under Armour,5231176.2
Foley,6,Old Navy,4707745.58,Under Armour,3626026.92,Vera Bradley,5159207.4
Foley,7,Columbia Sportswear,4587336.75,Sand Dollar Lifestyles,3449509.44,American Eagle Outfitters,4214630.88
Foley,8,Vera Bradley,4526165.37,Michael Kors,3433752.91,Coach,4115727.39
Foley,9,Michael Kors,4519448.68,Columbia Sportswear,3119739,Michael Kors,4008106.08
Foley,10,Coach,4480941.74,American Eagle Outfitters,3096909.74,Columbia Sportswear,3868480.52
Fort Worth,1,Nike,13915110.91,Nike,9020257.52,Nike,10629759.84
Fort Worth,2,Restoration Hardware,7480762.39,Restoration Hardware,4627955.18,Polo Ralph Lauren,6329122.62
Fort Worth,3,American Eagle Outfitters,6769980.84,Polo Ralph Lauren,4480643.45,Michael Kors,5572837
Fort Worth,4,Polo Ralph Lauren,6495095.19,American Eagle Outfitters,4215579.15,Restoration Hardware,5291400
Fort Worth,5,Michael Kors,5403319.54,Michael Kors,3925657.21,American Eagle Outfitters,4474669.82
Fort Worth,6,Columbia Sportswear,4731479.31,Bath & Body Works,3297557,Old Navy,4106132.32
Fort Worth,7,H&M,4494657.08,Old Navy,3185979.79,Columbia Sportswear,4042103.81
Fort Worth,8,Bath & Body Works,4140141.76,Columbia Sportswear,3014855.56,H&M,3267805.28
Fort Worth,9,Old Navy,3743103.13,H&M,2646208.57,Bath & Body Works,3021591
Fort Worth,10,Vans,3451616.62,Vans,2623245.79,Vans,2935005.47
Foxwoods,1,Coach,7147938.72,Nike,4981788.35,Coach,9034941.4
Foxwoods,2,Nike,7118294.83,Coach,4868585.4,Nike,6561950.36
Foxwoods,3,H&M,4206527.58,Old Navy,2760853.67,Michael Kors,5558349.81
Foxwoods,4,Old Navy,3932388.54,Michael Kors,2668499.93,Old Navy,4590867.09
Foxwoods,5,Michael Kors,3311026.97,H&M,2264791.93,H&M,4059121.23
Foxwoods,6,Under Armour,2981255.11,Under Armour,2120234.02,American Eagle Outfitters,2981113.22
Foxwoods,7,American Eagle Outfitters,2907296.13,American Eagle Outfitters,1899364.25,Under Armour,2948265.19
Foxwoods,8,Gap,2465841.05,Uggs,1520439.52,Vineyard Vines,2284637.16
Foxwoods,9,Crocs,2069866.93,Bath & Body Works,1510602,Gap,2242959.75
Foxwoods,10,Forever 21,2004578.69,Tommy Hilfiger,1508523.42,Kate Spade,2146592.59
Gonzales,1,Nike,9004143.2,Nike,6697907,Nike,9026068.41
Gonzales,2,Polo Ralph Lauren,7561019.17,Polo Ralph Lauren,5403014.39,Polo Ralph Lauren,6907585.08
Gonzales,3,Bath & Body Works,5716129,Old Navy,4697250.09,Old Navy,5932087.74
Gonzales,4,Old Navy,5603936.64,Bath & Body Works,4497807,Bath & Body Works,3866012
Gonzales,5,Coach,4142140.48,Under Armour,3173639.39,Under Armour,3630245.05
Gonzales,6,Under Armour,4073211.85,Michael Kors,2777415.17,Michael Kors,3332954.26
Gonzales,7,Michael Kors,4012227.39,Coach,2393929.86,Coach,3332533.76
Gonzales,8,Gap,2967543.72,Gap,2171791.91,VF Outlet,2695082.21
Gonzales,9,Rack Room Shoes,2810344.48,adidas,2064861.88,Gap,2541588.56
Gonzales,10,Fragrance Outlet,2757104.45,American Eagle Outfitters,1996017.7,adidas,2440896.03
Grand Rapids,1,Under Armour,9814698.03,Under Armour,6144678.33,Nike,9895007.55
Grand Rapids,2,Nike,7685858.82,Nike,5585793.33,Under Armour,7624495.44
Grand Rapids,3,Old Navy,6613235.08,Old Navy,4674889.89,Old Navy,6096191.5
